PHATE1	PHATE2	knn	cluster	dog	fid	ref
0.010780755127220655	-0.02204882059955577	40	6	3	3	FALSE
0.003270979794679587	-0.01278334450958335	40	6	8	8	FALSE
0.010286484853598529	-0.020692323539783394	40	6	14	14	FALSE
0.007746811534698485	-0.016409415929543526	40	6	19	19	FALSE
0.009323236132093593	-0.017900515906935283	40	6	23	23	FALSE
-0.0010619220232799165	6.432042341701381e-4	40	19	28	28	FALSE
0.0077051686962391576	-0.016700975365449393	40	6	30	30	FALSE
7.76212932488031e-4	-0.00678613729451609	40	2	34	34	FALSE
-0.01195364756003048	0.023205421507778445	40	14	46	46	FALSE
0.006022554791566664	-0.018049679649904896	40	6	59	59	FALSE
-0.0030928660544532714	0.0034200412758136523	40	19	61	61	FALSE
0.012558250521581535	-0.017296500155264852	40	6	64	64	FALSE
0.009760048029556715	-0.01764248101645724	40	6	66	66	FALSE
0.0076513878219436416	-0.016930875184841924	40	6	71	71	FALSE
0.009036821122601534	-0.01769048415874911	40	6	84	84	FALSE
0.010138673086852549	-0.0055978488953447435	40	6	87	87	FALSE
0.007146475458440048	-0.017584053906951346	40	6	88	88	FALSE
-0.010450788771563437	3.881396659910417e-4	40	17	94	94	FALSE
0.030863507683453726	0.030003436551514644	40	8	95	95	FALSE
-0.001706218054969349	0.0024308249511361202	40	19	98	98	FALSE
-0.012679336848446389	-2.2650569076141003e-5	40	17	100	100	FALSE
0.007478577498401662	-0.01782021679670367	40	6	104	104	FALSE
-0.018933665526653612	0.038579264899601805	40	4	111	111	FALSE
-0.003158598605985592	-0.011971736603593195	40	9	113	113	FALSE
0.010463745399157601	-0.02044128904476087	40	6	114	114	FALSE
0.0067073064783789525	0.001630140248832651	40	7	117	117	FALSE
0.00612496531457295	-0.017955322594006513	40	6	120	120	FALSE
-0.01054478736681976	-0.016488681657263287	40	11	121	121	FALSE
-0.012676203996644276	-2.2314905614194422e-4	40	17	122	122	FALSE
0.00745990968232843	-0.017650287247773823	40	6	123	123	FALSE
0.00909263102276343	-0.017639281141438725	40	6	124	124	FALSE
0.007797059133859654	-0.01771984924888949	40	6	128	128	FALSE
-0.0010136590103557719	0.0023737233491827755	40	19	131	131	FALSE
-0.0024670296167247025	0.004471941141103085	40	19	132	132	FALSE
0.009843902167388452	-0.01833794087968418	40	6	135	135	FALSE
0.047140956049768944	-0.012486003563131547	40	3	137	137	FALSE
0.01145095568398082	-0.016189500719536874	40	6	139	139	FALSE
-0.008654724652561339	-0.004195124404433183	40	13	140	140	FALSE
0.010655702545603492	-0.021673122256211798	40	6	144	144	FALSE
0.00952374682047814	-0.016024705804303135	40	6	147	147	FALSE
-4.849692076361084e-7	-0.010060664102644244	40	2	148	148	FALSE
-0.0029608089163500294	-0.007151656792771596	40	2	149	149	FALSE
-0.0025904264275438604	0.004307442141365071	40	19	157	157	FALSE
-0.004106784212101201	-0.018034367094282962	40	9	158	158	FALSE
0.006300219437019517	-0.016434366772471145	40	6	160	160	FALSE
0.008550011637374485	-0.01750839017667156	40	6	166	166	FALSE
4.649649575124492e-5	0.0019259596316183057	40	19	167	167	FALSE
0.006199570086817239	-0.018052214912529167	40	6	168	168	FALSE
0.007523941178415628	-0.01813301928684661	40	6	172	172	FALSE
0.0032390411823636136	0.0037272267580173166	40	19	181	181	FALSE
-0.001381442042624892	0.002897819946863491	40	19	182	182	FALSE
-0.0027023660829819827	0.0038751548626237233	40	19	183	183	FALSE
-0.014211557878492272	-0.010656330414018521	40	11	184	184	FALSE
-0.0036712827263050566	0.00751628321540624	40	0	191	191	FALSE
0.004031856642468607	-0.0027740764761945134	40	5	198	198	FALSE
-5.584849639189425e-5	0.0018230742862372345	40	19	199	199	FALSE
0.030548236033080167	0.029654827249981544	40	8	200	200	FALSE
0.010610816056238032	-0.016220291257186402	40	6	206	206	FALSE
0.00686275495881118	-0.01775250487124761	40	6	213	213	FALSE
-0.0016765236074904012	-0.002683158519998777	40	2	214	214	FALSE
-0.0013881227115736833	-0.0036327919892518946	40	2	215	215	FALSE
0.009523088310867515	-0.017708952619054863	40	6	219	219	FALSE
0.005692758407041414	-0.018237039564569315	40	6	220	220	FALSE
0.009900490538548827	-0.018634382001409076	40	6	223	223	FALSE
-0.0047903814309680015	-0.005127498567135386	40	2	234	234	FALSE
-0.004847405262208261	-0.005001479326386516	40	2	235	235	FALSE
0.010430819255369426	-0.004523760779606964	40	5	238	238	FALSE
0.07941613079692508	0.06814063934159663	40	1	268	268	FALSE
-0.012672198223355975	-1.5243680465952699e-4	40	17	275	275	FALSE
0.009641188701763507	-0.017539049181720518	40	6	281	281	FALSE
0.010651821759899278	0.008941000585567594	40	12	289	289	FALSE
0.010020452309175308	-0.012825772500926036	40	6	290	290	FALSE
-0.016718351514706426	0.03386547429308769	40	4	291	291	FALSE
0.020256002820467592	-0.01467706062707908	40	10	294	294	FALSE
