PHATE1	PHATE2	knn	cluster	dog	fid	ref
-7.324895223549149e-4	0.004435128529424278	40	19	3	0	TRUE
-0.003728732966919142	-0.009373538067427715	40	14	6	0	TRUE
-0.029174749175416653	0.0038639025160199557	40	1	22	0	TRUE
0.025767000320324873	-0.010543556599755517	40	15	27	0	TRUE
0.005699810486427029	0.03660213745004399	40	12	34	0	TRUE
0.0017784186585076943	0.026894786893701395	40	4	43	0	TRUE
7.158926506038039e-4	-0.039206339417380595	40	0	45	0	TRUE
0.02975675868705848	0.012403166691530569	40	7	71	0	TRUE
0.013914552757682337	-0.029506623492396186	40	5	80	0	TRUE
-0.031017106639835153	0.020883452968688675	40	17	93	0	TRUE
0.021113181725670494	-0.008578981665587649	40	15	104	0	TRUE
-0.01720148477343368	0.00927510763480094	40	17	115	0	TRUE
0.002025706744427865	0.02790413468046122	40	4	129	0	TRUE
-6.185618207605871e-4	0.01406750105730229	40	4	150	0	TRUE
0.01882599551741608	0.006307641339052372	40	7	152	0	TRUE
-0.02911923082000452	0.003881575459474222	40	1	153	0	TRUE
-0.009201102793412306	0.002047079891905984	40	19	154	0	TRUE
-0.006728318130087889	-0.008248922632988268	40	14	159	0	TRUE
0.0363724919187004	0.01704402392420928	40	3	163	0	TRUE
-0.0112930024113918	-0.014109047599148543	40	14	178	0	TRUE
0.03715596792750016	-0.013969627583066531	40	2	181	0	TRUE
-0.007237658139696687	-0.0059326702280260955	40	14	213	0	TRUE
-0.010244475108564943	0.002261045838357628	40	19	215	0	TRUE
0.0017951710724989477	0.026961164514849707	40	4	220	0	TRUE
0.007548958719321748	0.002361143177681965	40	19	221	0	TRUE
-0.007344536285215128	-0.006027281366080555	40	14	225	0	TRUE
-0.008496141292104074	-5.670720025287536e-4	40	19	227	0	TRUE
-4.460540574580659e-4	0.0059039632622022945	40	19	238	0	TRUE
-0.0071139303039451955	-0.006992414017768635	40	14	246	0	TRUE
0.03662783283809148	0.017282229333629166	40	3	247	0	TRUE
0.03513289524255945	-0.013768341530257298	40	2	248	0	TRUE
-0.0036737842878268034	-0.0014981478450917026	40	19	255	0	TRUE
-0.0023173076960377004	0.006938973296368485	40	19	266	0	TRUE
0.008763686002926782	0.015688319792180137	40	16	272	0	TRUE
0.0035716822970867936	-0.005665309441837273	40	19	273	0	TRUE
-0.0026554741707111806	-0.008508296868802593	40	6	280	0	TRUE
-4.4687994783322794e-4	0.003032244022379022	40	19	287	0	TRUE
-0.002229406816742584	-3.134084876015499e-4	40	19	289	0	TRUE
-0.007297932870570564	-0.007934046690980929	40	14	307	0	TRUE
0.004373780935149293	-0.01128053287489873	40	13	309	0	TRUE
-0.019768122669899146	-0.007727276698511095	40	14	310	0	TRUE
-0.0011041783414295894	0.0038460421875739135	40	19	327	0	TRUE
0.006341317990778238	-0.013898514537575908	40	13	331	0	TRUE
0.011156876957075647	-0.01624895856694671	40	13	346	0	TRUE
3.079486491434809e-4	-0.006342639259610279	40	19	365	0	TRUE
0.013723251619380194	-0.029097876459200426	40	5	369	0	TRUE
-0.002445056948184064	-8.247278124310981e-4	40	19	380	0	TRUE
-0.0019815630428978875	0.0021673858933408687	40	19	397	0	TRUE
0.006687025686898682	-0.013983276110146907	40	13	399	0	TRUE
-0.01025907696007365	0.002259162174090383	40	19	467	0	TRUE
0.005699631691785005	0.036601595930882164	40	12	469	0	TRUE
0.002800481390569121	0.0018724589494939388	40	19	471	0	TRUE
7.935526609557392e-4	-0.039303757924223456	40	0	483	0	TRUE
-0.010933044517471747	0.0028354066970982055	40	19	487	0	TRUE
0.010408562256266865	-0.020056325658347487	40	5	488	0	TRUE
-0.01172213210738987	-0.006795431173627929	40	14	508	0	TRUE
-0.020156524458199914	-0.0022047885898170043	40	14	522	0	TRUE
-0.006263066684403501	-0.007413781658918886	40	14	540	0	TRUE
-0.005319947358337666	-8.178771305174374e-4	40	19	542	0	TRUE
-0.007788508486651837	-0.005686675123335794	40	14	560	0	TRUE
0.03641705730093145	0.017088376626800485	40	3	580	0	TRUE
-0.0010774413008633784	0.0038222024129164218	40	19	582	0	TRUE
-0.006877407697471449	-0.008133267948429583	40	14	595	0	TRUE
-0.0155314422318701	-0.009480949338153438	40	10	606	0	TRUE
-0.008453965000461989	3.456567643794893e-5	40	19	607	0	TRUE
5.9882912216730464e-5	-0.0016253424110740996	40	19	613	0	TRUE
-6.638030710200263e-4	0.013748951581557995	40	4	622	0	TRUE
-0.0020925481556432405	-0.0022804871719880318	40	19	628	0	TRUE
-0.002737389422206754	-0.008569093685979218	40	6	632	0	TRUE
0.0030600886366713696	-0.027771865627203587	40	13	634	0	TRUE
-0.00492398204269252	5.881795330999444e-4	40	19	661	0	TRUE
-0.014096093775398489	-0.01904613171491601	40	14	666	0	TRUE
-0.008544134105232314	-2.464330982417275e-4	40	19	671	0	TRUE
-0.0036778622011304995	2.1992513853741775e-4	40	19	674	0	TRUE
-0.008914649936642854	1.5505787267725118e-4	40	19	691	0	TRUE
-6.685895090245665e-4	0.0016105243344118887	40	19	692	0	TRUE
-0.0013069642864652418	0.0032960940783424765	40	19	695	0	TRUE
0.036862579293154	-0.013889300046869703	40	2	705	0	TRUE
-0.003792758197661794	-6.349844320872552e-4	40	19	713	0	TRUE
0.013802397255840341	-0.02923682012468839	40	5	725	0	TRUE
0.006513749280385891	9.585863690704866e-5	40	19	726	0	TRUE
0.00867857066178122	-0.014846512884341068	40	13	729	0	TRUE
-0.003763008028697526	-0.011897644035716366	40	6	732	0	TRUE
0.01904250440060483	0.030771945071218384	40	8	744	0	TRUE
0.025524926944270946	-0.01043199205503082	40	15	752	0	TRUE
-0.00551839823150736	-0.0029138783424105213	40	14	753	0	TRUE
-0.00196794004805472	0.003044400051398464	40	19	760	0	TRUE
-0.008843458075446056	1.380993811439147e-4	40	19	766	0	TRUE
-0.005409111628957465	-0.008716040765423963	40	14	767	0	TRUE
-0.016094588728275693	0.008518828679772645	40	17	792	0	TRUE
0.03333945955919161	0.014637561269258248	40	3	801	0	TRUE
-0.010269657451883487	0.002252566408926978	40	19	802	0	TRUE
0.00878205421206047	0.015741494039643325	40	16	824	0	TRUE
0.03396119189942701	-0.013624604144455413	40	2	853	0	TRUE
-0.013351782099381747	-0.017458333882936	40	14	867	0	TRUE
-0.004556830464608992	-0.020372500262980982	40	18	870	0	TRUE
0.0032153106085132106	0.0025328545353970997	40	19	872	0	TRUE
-0.002379046945416365	0.0015671802024867763	40	19	899	0	TRUE
